wwf_row_id,seafood_category,main_common_name,secondary_common_name,scientific_name,sustainability_rating,origin,production_method_final,certification,alternatives_under_wwf_malaysia_improvement_project,source_pdf_page,canonical_fish_id,fish_type,description,context
1,Crab,French Crab,-,Cancer pagurus,Reduce,France,Pots/ Traps (Wild caught),,,1,,Marine crab,A European edible crab known for its sweet meat and compact body; commonly associated with rocky and sandy marine seabeds.,"WWF rates French Crab Reduce. Its stock is described as data-limited, although available landing information and adjacent-area evidence indicate abundance and fishing rate are stable enough for long-term productivity. WWF also notes that pot fisheries generally have minor ecosystem effects and are unlikely to cause significant damage to endangered species. Those mixed conditions support Reduce rather than Best Choice."
2,Crab,Ketam Lembut,Soft-shell Crab,Scylla spp.,Avoid,Malaysia,Tray,,,1,,Marine crab,"A soft-shell mud crab harvested shortly after moulting, with a tender shell and meat that can be eaten whole.",WWF rates Ketam Lembut Avoid for the stated Malaysia tray context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
3,Crab,Ketam Bakau,Mud Crab,Scylla spp.,Avoid,Malaysia,Traps (Wild caught),,,1,,Marine crab,"A mangrove-associated mud crab valued across Southeast Asia, typically found in estuaries, mudflats and coastal wetlands.",WWF rates Ketam Bakau Avoid for the stated Malaysia traps (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
4,Crab,Ketam Bunga / Ketam Biru,Blue Swimming Crab,Portunus pelagicus,Reduce,Malaysia (Sabah),Traps (Wild caught),,,1,,Marine crab,"A fast-growing swimming crab found in coastal waters, widely traded for its delicate, sweet meat.",WWF rates Ketam Bunga / Ketam Biru Reduce for the stated Malaysia (Sabah) traps (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
5,Crab,Raja Ketam,Red King Crab / Spider Crab,Paralithodes camtschaticus,Best Choice,Alaska,Pots/ Traps (Wild caught),,,1,,Marine crab,"A large cold-water king crab prized for its substantial legs and sweet meat, associated with northern Pacific waters.","WWF rates Raja Ketam Best Choice for the stated Alaska pots/ traps (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
6,Fish,Alaskan Pollock,-,Gadus chalcogrammus,Reduce,USA,Bottom trawl (Wild caught),,,1,,Marine pelagic fish,A cold-water schooling whitefish that forms an important commercial fishery in the North Pacific.,"WWF notes that Alaska pollock shares waters with endangered, threatened and protected species including Steller sea lions, Chinook salmon and sharks. Bycatch is relatively low and discards have decreased, but the species is ecologically important and continued fishing may alter food-web structure. Bottom-trawl habitat impacts are assessed as moderate because fishing occurs partly over sponge beds and sedimentary habitats."
7,Fish,Albacore Tuna,-,Thunnus alalunga,Best Choice,South Africa,Pole and line (Wild caught),,,1,,Marine pelagic fish,"A highly migratory tuna with firm, pale meat, commonly found in temperate and tropical open-ocean waters.",WWF notes that Albacore Tuna is highly migratory and listed as Near Threatened by the IUCN. A previous southern-stock assessment led to a lower total allowable catch after the stock was considered overfished; the updated assessment cited by WWF no longer considered that stock overfished or undergoing overfishing. The South African pole-and-line record is consequently rated Best Choice in this guide.
8,Fish,Atlantic Bluefin Tuna,-,Thunnus thynnus,Avoid,Atlantic Ocean,Pelagic longlines (Wild caught),,,1,,Marine pelagic fish,"A large, fast-swimming tuna that migrates across the open Atlantic and is highly valued in premium seafood markets.","WWF highlights very high bycatch in Atlantic pelagic longline fisheries, including protected seabirds such as albatrosses and petrels, as well as vulnerable sharks, marine mammals, sea turtles and billfishes. Bluefin also occupies a high trophic level, so heavy fishing can affect wider food webs. Although pelagic longlines do not damage sensitive benthic habitats, WWF still rates this record Avoid."
9,Fish,Atlantic Cod,-,Gadus Morhua,Reduce,Russia (Barrent sea),Long lines/ gillnets (Wild caught),,,1,,Marine demersal fish,"A cold-water cod species associated with northern Atlantic waters and valued for its mild, flaky flesh.","WWF reports that the North-East Arctic cod stock was healthy in its cited assessment and covered by a good management plan. Spatial and temporal closures protect juveniles and help control fishing, while management measures also help reduce illegal, unreported and unregulated fishing. Despite these positive factors, this Russian Barents Sea record is classified Reduce under WWF's assessment."
10,Fish,Atlantic Salmon,-,Salmo salar,Reduce,Norway,Floating net cages (Farmed),,,1,,Marine fish,"A widely farmed salmon with pink-orange flesh, raised in marine cages and commonly sold fresh or smoked.","WWF explains that Norwegian floating net-pen salmon farms directly interact with the marine environment. Fish waste, uneaten feed and antibiotics can enter surrounding waters and sediments, while escapes, disease, parasites and chemical use can affect ecosystems. These environmental risks are why the floating-cage farmed salmon record is placed in WWF's Reduce category."
