wwf_row_id,seafood_category,main_common_name,secondary_common_name,scientific_name,sustainability_rating,origin,production_method_final,certification,alternatives_under_wwf_malaysia_improvement_project,source_pdf_page,canonical_fish_id,fish_type,description,short description,context
6,Fish,Alaskan Pollock,-,Gadus chalcogrammus,Reduce,USA,Bottom trawl (Wild caught),,,1,,Marine pelagic fish,A cold-water schooling whitefish that forms an important commercial fishery in the North Pacific.,"Cold-water whitefish with mild flavour, widely caught in the North Pacific.","WWF notes Alaska pollock shares waters with protected species such as Steller sea lions, Chinook salmon and sharks. Bycatch is relatively low, but bottom trawling can affect sponge beds and sedimentary habitat. These ecosystem and habitat concerns support a Reduce rating."
7,Fish,Albacore Tuna,-,Thunnus alalunga,Best Choice,South Africa,Pole and line (Wild caught),,,1,,Marine pelagic fish,"A highly migratory tuna with firm, pale meat, commonly found in temperate and tropical open-ocean waters.","Firm, pale-fleshed tuna found across temperate and tropical open oceans.","WWF notes Albacore Tuna is highly migratory and Near Threatened. The cited southern-stock assessment no longer considered the stock overfished or undergoing overfishing, while South African pole-and-line fishing is comparatively selective. These factors support the Best Choice rating for this record."
8,Fish,Atlantic Bluefin Tuna,-,Thunnus thynnus,Avoid,Atlantic Ocean,Pelagic longlines (Wild caught),,,1,,Marine pelagic fish,"A large, fast-swimming tuna that migrates across the open Atlantic and is highly valued in premium seafood markets.",Large migratory tuna prized for its rich meat and premium seafood appeal.,"WWF highlights very high bycatch in Atlantic pelagic longlines, including protected seabirds, sharks, marine mammals, turtles and billfishes. Bluefin also occupies a high trophic level, so heavy fishing can affect wider food webs. These impacts support an Avoid rating."
9,Fish,Atlantic Cod,-,Gadus Morhua,Reduce,Russia (Barrent sea),Long lines/ gillnets (Wild caught),,,1,,Marine demersal fish,"A cold-water cod species associated with northern Atlantic waters and valued for its mild, flaky flesh.","Mild, flaky cold-water fish associated with northern Atlantic waters.","WWF reports the North-East Arctic cod stock was healthy in its cited assessment and covered by a good management plan. Closures protect juveniles and management measures help control fishing and illegal, unreported and unregulated activity. Despite these positives, this Russian Barents Sea record is rated Reduce."
10,Fish,Atlantic Salmon,-,Salmo salar,Reduce,Norway,Floating net cages (Farmed),,,1,,Marine fish,"A widely farmed salmon with pink-orange flesh, raised in marine cages and commonly sold fresh or smoked.",Pink-orange salmon widely farmed and sold fresh or smoked.,"WWF explains that Norwegian floating net-pen salmon farms interact directly with marine waters. Waste, uneaten feed and antibiotics can affect sediments, while escapes, disease, parasites and chemical use can affect ecosystems. These environmental risks support a Reduce rating for this farmed record."
11,Fish,Bakulan,Skipjack,Katsuwonus pelamis,Reduce,Malaysia (Sabah),Purse seine (Wild caught),,,1,,Marine pelagic fish,A small tropical tuna that travels in schools through warm ocean waters and is widely used in Southeast Asian fisheries.,Small tropical tuna that schools through warm Southeast Asian waters.,WWF rates Bakulan Reduce for the stated Malaysia (Sabah) Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
13,Fish,Bawal Emas,Snubnose Pompano,Trachinotus blochii,Best Choice,Malaysia (Peninsular),Cage Culture (Farmed),,,1,,Marine fish,"A warm-water pompano with a streamlined body, often associated with coastal waters and marine aquaculture.",Warm-water pompano associated with coastal waters and marine aquaculture.,WWF rates Malaysian Peninsular cage-cultured Bawal Emas Best Choice. The guide describes the species as associated with rocky and coral reefs and inshore habitats and notes its popularity in Malaysian aquaculture. Best Choice is reserved for preferred seafood from well-managed stocks or lower-impact aquaculture.
14,Fish,Bawal Hitam,Black Pomfret,Parastromateus niger,Reduce,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,"A deep-bodied pomfret with a distinctive dark body, commonly sold in Malaysian seafood markets.",Dark-bodied pomfret commonly sold in Malaysian seafood markets.,WWF rates Bawal Hitam Reduce for the stated Malaysia Trawl record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
15,Fish,Bawal Putih,Chinese Silver Pomfret,Pampus chinensis,Avoid,Malaysia,Gillnets (Wild caught),,,1,,Marine demersal fish,A silver-bodied pomfret found over muddy coastal seabeds and widely consumed across Asian markets.,Silver pomfret found over muddy coastal seabeds and widely eaten across Asia.,"WWF notes Chinese Silver Pomfret is mainly caught by trawl. The guide describes trawling as highly detrimental because it is non-selective, can damage habitat and can create bycatch of endangered, threatened and protected species. These fishing-method impacts support an Avoid rating."
16,Fish,Belanak,Longfin Grey Mullet,Valamugil cunnesius,Best Choice,Malaysia,Gillnets (Wild caught),,,1,,Marine-estuarine fish,"A coastal mullet associated with estuaries and shallow waters, recognised for its elongated body and fine-textured flesh.",Coastal mullet from estuaries and shallow waters with fine-textured flesh.,"WWF rates Belanak Best Choice for the stated Malaysia Gillnets record. Best Choice is reserved for preferred seafood from well-managed, non-overexploited fisheries or lower-impact aquaculture. WWF therefore presents this record as a preferred seafood option."
17,Fish,Bulu Ayam (Ikan Masin),Grenadler Anchovy,Coilia spp.,Reduce,Malaysia (Peninsular),Other Seine (Wild caught),,,1,,Marine pelagic fish,A small anchovy-like fish used locally as dried or salted seafood and associated with Malaysian coastal fisheries.,Small anchovy-like fish commonly prepared dried or salted in Malaysia.,WWF rates Bulu Ayam (Ikan Masin) Reduce for the stated Malaysia (Peninsular) Other Seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
18,Fish,Bulus,Silver Sillago,Sillago sihama,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,A small silver fish that lives over sandy and muddy coastal bottoms and is commonly caught in nearshore fisheries.,Small silver fish found over sandy and muddy coastal bottoms.,WWF rates Bulus Avoid for the stated Malaysia Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
19,Fish,Cencaru,Hardtail Scad,Megalaspis cordyla,Best Choice,Malaysia,Purse seine/ Gillnet Trawl (Wild caught),,,1,,Marine pelagic fish,A robust coastal scad that forms schools in tropical waters and is a familiar fish in Malaysian markets.,Robust schooling scad and a familiar fish in Malaysian markets.,"WWF rates Cencaru Best Choice for the stated Malaysia Purse seine/ Gillnet Trawl record. Best Choice is reserved for preferred seafood from well-managed, non-overexploited fisheries or lower-impact aquaculture. WWF therefore presents this record as a preferred seafood option."
20,Fish,Chinook Salmon,-,Oncorhynchus tshawytscha,Best Choice,Alaska,Pelagic gillnets (Wild caught),,,1,,Anadromous fish,"A large Pacific salmon known for its rich flavour and dark flesh, migrating between the ocean and freshwater rivers.",Large Pacific salmon known for rich flavour and dark flesh.,"WWF says cited Alaskan Chinook salmon fisheries are managed by the Alaska Department of Fish and Game and the stocks are healthy. Area-specific commercial regulations, Fishery Improvement Projects and partial MSC certification support management. These measures support the Best Choice classification for this fishery."
22,Fish,Hoki,-,Macruronus novaezelandiae,Reduce,New Zealand,Mid-water trawl (Wild caught),,,1,,Marine demersal fish,A long-bodied cold-water fish commonly caught around New Zealand and used widely as a white-fleshed seafood.,Long-bodied cold-water fish from New Zealand with white flesh.,"WWF notes New Zealand hoki is caught with mid-water otter trawls. Bycatch and juvenile catch can be significant, and interactions with protected species may be high. Discards are low and seabed contact is unlikely, reducing habitat impact. The balance of risks and mitigations leads WWF to Reduce."
23,Fish,Ikan Bilis,Anchovies,Stolephorus spp.,Reduce,Malaysia,Purse seine/ Lift nets (Wild caught),,,1,,Marine pelagic fish,"Small schooling anchovies widely used fresh, dried or fermented in Malaysian cuisine and coastal food traditions.","Small anchovies widely used fresh, dried or fermented in Malaysian cuisine.",WWF rates Ikan Bilis Reduce for the stated Malaysia Purse seine/ Lift nets record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
24,Fish,Ikan Delah / Tauhu,Yellowtail Fusiler,Caesio cuning,Avoid,Malaysia,Pelagic gillnets (Wild caught),,,1,,Marine reef fish,"A colourful fusilier that forms schools around reefs and coastal waters, often encountered in tropical Southeast Asian fisheries.",Colourful schooling fusilier found around reefs and tropical coastal waters.,"WWF describes this Malaysian fishery as data deficient, with limited stock and biological information. Given widespread overfishing across the Indo-Pacific, stocks are considered likely to be overfished or undergoing overfishing. Bottom-set gillnets can also be non-selective and affect protected species, supporting Avoid."
25,Fish,Ikan Gelama,Croakers,Sciaenidae spp.,Avoid,Malaysia,Bottom Trawl (Wild caught),,,1,,Marine demersal fish,A group of coastal croakers that often live near muddy bottoms and estuaries and produce characteristic drumming sounds.,Coastal croaker group associated with muddy bottoms and estuaries.,WWF rates Ikan Gelama Avoid for the stated Malaysia Bottom Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
26,Fish,Ikan Merah,Red Snapper,Lutjanus sebae,Reduce,Malaysia (East Coast &,Hook and line (Wild caught),,AIP,1,,Marine reef fish,"A red snapper associated with reefs and coastal waters, known for firm flesh and a bright reddish body.","Red snapper with firm flesh, associated with reefs and coastal waters.",WWF rates Ikan Merah Reduce for the stated Malaysia (East Coast & Hook and line record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
27,Fish,Ikan Sebelah,Flounder,Pseudorhombus malayanus,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,"A bottom-dwelling flatfish with both eyes on one side of its body, living mainly over sandy or muddy seabeds.",Bottom-dwelling flatfish with both eyes positioned on one side.,WWF rates Ikan Sebelah Avoid for the stated Malaysia Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
28,Fish,Ikan Selar,Common Scad,Decapterus akaadsi,Reduce,Malaysia,Purse seine (Wild caught),,,1,,Marine pelagic fish,A small schooling scad common in tropical waters and a familiar fish in Malaysian seafood markets.,Small schooling scad commonly found in tropical waters and Malaysian markets.,"WWF notes Common Scad is a schooling species found in open water and around islands, often at roughly 40–200 metres. Stock health and species biology information is lacking, creating sustainability uncertainty. Purse seine is the common and more selective harvest method, supporting Reduce rather than Avoid."
29,Fish,Jenahak,John's Snapper,Lutjanus johnii,Avoid,Malaysia,Trawl (Wild caught),,AIP,1,,Marine reef fish,"A snapper associated with coastal and reef habitats, recognised for its coppery-red body and firm flesh.",Firm-fleshed snapper associated with coastal and reef habitats.,"WWF reports no stock assessments for John's Snapper and high vulnerability to fishing pressure. Regional fisheries are considered significantly overfished, while bottom trawling can threaten turtles and damage corals and other benthic habitats. Juvenile and non-target catches are also concerns, supporting Avoid."
30,Fish,Jerung / Yu,All Sharks,Elasmobranchii,Avoid,Malaysia and Global,Trawl/ Hook and line (Wild caught),,,1,,Marine cartilaginous fish,A broad group of sharks that occupy many marine habitats and play important roles as ocean predators.,Sharks found across marine habitats and important as ocean predators.,"WWF highlights overfishing and demand for shark fins and meat as major pressures on sharks. Sharks are also important predators in marine ecosystems. Given these conservation pressures and the Malaysia/global wild-caught context, WWF places the shark category in Avoid."
31,Fish,Kekacang,Pickhandle Barracuda,Sphyraena jello,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine pelagic fish,"A fast predatory barracuda found in tropical coastal waters, recognisable by its elongated body and strong jaws.",Fast tropical coastal predator with an elongated body and strong jaws.,WWF rates Kekacang Avoid for the stated Malaysia Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
32,Fish,Kembung / Pelaling,Indian Mackerel,Rastrelliger kanagurta,Reduce,Malaysia,Purse seine (Wild caught),,,1,,Marine pelagic fish,"A small schooling mackerel widely eaten in Malaysia, with oily flesh and a strong place in everyday local cuisine.",Everyday Malaysian mackerel with oily flesh and strong local appeal.,WWF rates Kembung / Pelaling Reduce for the stated Malaysia Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
33,Fish,Kerapu Bebeh,Sixbar Grouper,Epinephelus sexfasciatus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,1,,Marine reef fish,"A small grouper associated with reef and rocky coastal habitats and valued for its firm, white flesh.","Small reef-associated grouper valued for firm, white flesh.",WWF rates Kerapu Bebeh Avoid for the stated Malaysia (Peninsular) Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
34,Fish,Kerapu Bintik,Orange Spotted Grouper,Epinephelus coioides,Avoid,Malaysia,Bottom Trawl (Wild caught),,,1,,Marine reef fish,"A reef-associated grouper found in tropical coastal waters, commonly sold as a premium food fish in Southeast Asia.",Premium reef grouper commonly sold across Southeast Asian seafood markets.,"WWF notes Orange Spotted Grouper uses mangroves, coral reefs, estuaries, shallow seas and saline lagoons. It is commonly caught by bottom trawl, which is highly detrimental because the gear is non-selective, can damage habitat and can create bycatch of protected species. These risks support Avoid."
35,Fish,Kerapu Ekor Gelap,Duskytail Grouper,Epinephelus bleekeri,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine reef fish,"A grouper associated with tropical coastal habitats, with a sturdy body and firm, white flesh.","Firm, white-fleshed grouper associated with tropical coastal habitats.",WWF rates Kerapu Ekor Gelap Avoid for the stated Malaysia (Peninsular) Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
36,Fish,Kerapu Harimau,Brown-marble Grouper,Epinephelus fuscoguttatus,Reduce,Malaysia (Peninsular),Cage Culture (Farmed),,,2,,Marine reef fish,"A large, reef-associated grouper with a marbled pattern, commonly produced through marine cage aquaculture.",Large marbled grouper commonly produced through marine cage aquaculture.,WWF rates Kerapu Harimau Reduce for the stated Malaysia (Peninsular) Cage Culture record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
37,Fish,Kerapu Kertang,Giant Grouper,Epinephelus lanceolatus,Avoid,Malaysia (Peninsular),Cage Culture (Farmed),,,2,,Marine reef fish,"A very large grouper that can inhabit reefs and coastal waters, reaching exceptional size compared with many groupers.",Very large grouper found around reefs and coastal waters.,WWF rates Kerapu Kertang Avoid for the stated Malaysia (Peninsular) Cage Culture record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
38,Fish,Kerapu Lumpur,Malabar Grouper,Epinephelus malabaricus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine reef fish,"A large tropical grouper associated with coastal and reef habitats and known for its firm, white flesh.","Large tropical grouper valued for its firm, white flesh.",WWF rates Kerapu Lumpur Avoid for the stated Malaysia (Peninsular) Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
